[ 2026-09-12 03:21:46,333 ] 18 root - INFO - Initiate the data ingestion
[ 2026-09-12 03:21:54,017 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-09-12 03:21:54,017 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-09-12 03:21:54,017 ] 75 root - INFO - Exporting train and test file path.
[ 2026-09-12 03:21:54,227 ] 84 root - INFO - Exported train and test file path.
[ 2026-09-12 03:21:54,227 ] 20 root - INFO - Data Initiation Completed
[ 2026-09-12 03:21:54,232 ] 24 root - INFO - Initiate the data Validation
[ 2026-09-12 03:21:54,313 ] 31 root - INFO - Req. number of columns:2
[ 2026-09-12 03:21:54,313 ] 32 root - INFO - Data frame has columns:31
[ 2026-09-12 03:21:54,313 ] 31 root - INFO - Req. number of columns:2
[ 2026-09-12 03:21:54,313 ] 32 root - INFO - Data frame has columns:31
[ 2026-09-12 03:21:54,700 ] 26 root - INFO - data Validation Completed
[ 2026-09-12 03:21:54,701 ] 28 root - INFO - Data Transformation started
[ 2026-09-12 03:21:54,701 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-09-12 03:21:54,701 ] 65 root - INFO - Starting data transformation
[ 2026-09-12 03:21:54,780 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-09-12 03:21:54,780 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-09-12 03:21:54,809 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-12 03:21:54,811 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-12 03:21:54,811 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-12 03:21:54,814 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-12 03:21:54,815 ] 33 root - INFO - Data Transformation Completed
[ 2026-09-12 03:21:54,815 ] 34 root - INFO - Model Training sstared
[ 2026-09-12 03:31:56,786 ] 123 root - INFO - Best model name: Random Forest, Best model score: 0.9462722967980092
[ 2026-09-12 03:31:56,910 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-12 03:31:56,910 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-12 03:31:56,910 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-12 03:31:56,915 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-12 03:31:56,915 ] 153 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/09_12_2026_03_21_43/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910238239859621, precision_score=0.9890213511147034, recall_score=0.9930344221275444), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9880758807588076, precision_score=0.9864718614718615, recall_score=0.989685124864278))
[ 2026-09-12 03:31:56,916 ] 39 root - INFO - Model Training artifact created
