[ 2026-09-12 03:05:27,594 ] 16 root - INFO - Initiate the data ingestion
[ 2026-09-12 03:05:35,852 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-09-12 03:05:35,852 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-09-12 03:05:35,852 ] 75 root - INFO - Exporting train and test file path.
[ 2026-09-12 03:05:36,217 ] 84 root - INFO - Exported train and test file path.
[ 2026-09-12 03:05:36,218 ] 18 root - INFO - Data Initiation Completed
[ 2026-09-12 03:05:36,231 ] 22 root - INFO - Initiate the data Validation
[ 2026-09-12 03:05:36,423 ] 31 root - INFO - Req. number of columns:2
[ 2026-09-12 03:05:36,423 ] 32 root - INFO - Data frame has columns:31
[ 2026-09-12 03:05:36,423 ] 31 root - INFO - Req. number of columns:2
[ 2026-09-12 03:05:36,423 ] 32 root - INFO - Data frame has columns:31
[ 2026-09-12 03:05:36,826 ] 24 root - INFO - data Validation Completed
[ 2026-09-12 03:05:36,826 ] 26 root - INFO - Data Transformation started
[ 2026-09-12 03:05:36,826 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-09-12 03:05:36,826 ] 65 root - INFO - Starting data transformation
[ 2026-09-12 03:05:36,938 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-09-12 03:05:36,938 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-09-12 03:05:36,983 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-12 03:05:36,986 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-12 03:05:36,987 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-12 03:05:36,992 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-12 03:05:36,992 ] 31 root - INFO - Data Transformation Completed
