[ 2026-09-11 23:23:08,368 ] 15 root - INFO - Initiate the data ingestion
[ 2026-09-11 23:23:14,784 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-09-11 23:23:14,784 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-09-11 23:23:14,784 ] 75 root - INFO - Exporting train and test file path.
[ 2026-09-11 23:23:14,993 ] 84 root - INFO - Exported train and test file path.
[ 2026-09-11 23:23:14,993 ] 17 root - INFO - Data Initiation Completed
[ 2026-09-11 23:23:14,998 ] 21 root - INFO - Initiate the data Validation
[ 2026-09-11 23:23:15,078 ] 31 root - INFO - Req. number of columns:2
[ 2026-09-11 23:23:15,078 ] 32 root - INFO - Data frame has columns:31
[ 2026-09-11 23:23:15,078 ] 31 root - INFO - Req. number of columns:2
[ 2026-09-11 23:23:15,078 ] 32 root - INFO - Data frame has columns:31
[ 2026-09-11 23:23:15,425 ] 23 root - INFO - data Validation Completed
